"source","target"
"2969310429","249547283"
"859315448","143104075"
"364082266","50055701"
"364082266","28785486"
"364082266","65691824"
"20370320","3017574151"
"20370320","14293310"
"20370320","1339835893"
"4752211955","356289479"
"328754468","14596346"
"43445412","76088120"
"304199008","23161262"
"271197755","263473924"
"445925560","216776631"
"4747922788","356289479"
"94245127","4168565293"
"252566795","3193944696"
"378451616","216776631"
"885581376","17995040"
"4329847221","2753701960"
"16597222","2770804376"
"16597222","23022687"
"729864282","852269288"
"567345950","36890646"
"3241887378","161804856"
"3241887378","216776631"
"78968880","3293741005"
"78968880","25073877"
"20714200","970207298"
"18806759","216776631"
"506461573","24645354"
"506461573","1972462291"
"506461573","23022687"
"135569237","66533920"
"1942837039","2998408203"
"38363915","64816476"
"4741768659","356289479"
"15447694","84816752"
"2716039260","36728962"
"18778653","25073877"
"18778653","2412591390"
"18778653","759251"
"69384446","32845990"
"3924259581","15458694"
"40173650","2798716081"
"40173650","583127113"
"40173650","1339835893"
"40173650","29442313"
"40173650","17011177"
"46748165","96442308"
"3375017176","95431448"
"3406540678","28406270"
"4844811918","449110269"
"326607825","421830010"
"3761843294","287423191"
"3761843294","10228272"
"389520791","315878798"
"1597559232","271154322"
"40173650","89715939"
"354662997","2164770253"
"354662997","4729317440"
"354662997","15745368"
"870899976","49645946"
"870899976","4729317440"
"870899976","23022687"
"69641315","435704007"
"69641315","1339835893"
"3290319959","110396781"
"4862600004","450941680"
"4862600004","216776631"
"4862600004","3119988399"
"1000174741","488809923"
"3253946096","3503962453"
"3253946096","843820334"
"3253946096","3332044263"
"3253946096","313010780"
"3253946096","73775601"
"3253946096","3253946096"
"49075903","36746023"
"49075903","1339835893"
"49075903","21619519"
"942691634","190905427"
"942691634","1339835893"
"19775606","216776631"
"239510987","95713333"
"2960256421","2833315608"
"4872958384","21146733"
"4872958384","576215318"
"4872958384","216776631"
"529009574","2360301337"
"3067160718","4209374374"
"534831016","18087197"
"534831016","23022687"
"2330881664","2208095516"
"2330881664","23022687"
"2619163263","177584156"
"2619163263","41634520"
"2619163263","1339835893"
"14746561","408208049"
"2177428656","15012486"
"2177428656","216776631"
"242821744","3721698014"
"4820755123","2467791"
"123697014","1917731"
"3572758941","75797367"
"33229252","3272663479"
"591935854","3243180107"
"2289158064","3141672447"
"384700571","4029018734"
"384700571","1180379185"
"384700571","47134689"
"384700571","432010324"
"2714874518","3219137527"
"2714874518","1339835893"
"2714874518","759251"
"2714874518","2836421"
"2714874518","16129920"
"26619944","887103648"
"26619944","91180720"
"2991143046","472592980"
"1884337686","52751069"
"1884337686","184136149"
"39414818","112047805"
"3120398152","1367531"
"3120398152","44135635"
"3120398152","7702542"
"3120398152","23022687"
"3120398152","1180379185"
"3121651429","17092542"
"3121651429","49698134"
"20958510","56149176"
"2720975617","15458694"
"486306418","2281347398"
"30982822","4706060432"
"746649829","14175375"
"2823620637","196168350"
"216177462","4515450675"
"25208451","35216399"
"25208451","4781182130"
"25208451","3428565077"
"25208451","24645354"
"278862143","15458694"
"60075685","527823754"
"60075685","457984599"
"504129552","2440456711"
"504129552","216776631"
"48599448","3065900255"
"48599448","1339835893"
"709964233","2434051392"
"709964233","216776631"
"628617775","2337415076"
"17244450","16311797"
"2764553585","3192975585"
"2764553585","307548363"
"3458314408","45190383"
"3458314408","50325797"
"1271084154","188793260"
"1271084154","216776631"
"2949991530","23865382"
"3324919772","41634520"
"3324919772","179245596"
"3324919772","1339835893"
"3324919772","1330457336"
"488911358","1339835893"
"205810264","326331018"
"272001208","408121047"
"272001208","3001665106"
"129096300","20740837"
"279657148","2218667364"
"747314994","89773253"
"53861909","2869072982"
"53861909","959227039"
"53861909","1339835893"
"582867210","1090556088"
"16077922","508211969"
"16077922","24645354"
"16077922","1972462291"
"16077922","23022687"
"396867495","4265721"
"396867495","15164565"
"360820739","152142811"
"2781021258","78523300"
"576215318","3195330108"
"3279003277","113061485"
"729864282","24217751"
"729864282","216776631"
"783343310","1669093884"
"65931246","30508936"
"38180213","95431448"
"21352055","14293310"
"3388611785","233933230"
"3388611785","1339835893"
"4813687637","118172546"
"4804005008","263893354"
"272001208","35821643"
"16123853","286680865"
"1247772650","177564016"
"4765070485","194663746"
"1334852306","15754851"
"275485057","525821517"
"39503398","234186830"
"39503398","29442313"
"16503468","2710021856"
"16384043","3894206656"
"16384043","618300542"
"2262307472","730052598"
"557148841","352947624"
"1572435415","37501003"
"396867495","4265721"
"396867495","15164565"
"2422033975","222953824"
"2422033975","216776631"
"2422033975","1339835893"
"93727830","55790584"
"3409150158","133920872"
"2771164246","65502117"
"2771164246","113047940"
"2771164246","15745368"
"47261735","2583108349"
"47261735","258185598"
"47261735","3314392584"
"47261735","1339835893"
"47261735","216776631"
"3306629576","15745368"
"2777460461","25073877"
"136221308","3065872938"
"353063439","1339835893"
"932075623","366355851"
"300670811","19697415"
"3311544643","14173315"
"595250319","2954137227"
"186587664","54065567"
"2983568401","2875485611"
"2983568401","20110424"
"2983568401","1180379185"
"213499333","1339835893"
"213499333","4856019777"
"157540573","52540983"
"157540573","2674533054"
"157540573","25073877"
"4182358696","32845990"
"3985826294","1287928974"
"3985826294","26062385"
"33736525","110445334"
"33736525","25073877"
"3950137456","18956073"
"3950137456","1347285918"
"13943202","15458694"
"355690109","1339835893"
"1710743766","36847043"
"1710743766","216776631"
"2887201159","14173315"
"4794182534","21982720"
"4794182534","1339835893"
"408861045","852269288"
"3403597312","1339835893"
"2167674121","261749735"
"2167674121","25073877"
"21361003","159655293"
"1263295052","852269288"
"603999850","18464266"
"603999850","1339835893"
"4677284473","1418745782"
"15693134","755113"
"809826704","139909832"
"809826704","216776631"
"3481017737","25073877"
"3481017737","4121225056"
"3481017737","397545273"
"3481017737","227837742"
"259121785","895437530"
"479270837","296167307"
"252966637","279358548"
"252966637","3237607138"
"252966637","928705128"
"252966637","3362972344"
"252966637","23022687"
"252966637","23529294"
"252966637","1149267294"
"272001208","296704143"
"272001208","272001208"
"272001208","15745368"
"117549200","14747825"
"117549200","216776631"
"458549418","103121228"
"458549418","4121225056"
"458549418","25073877"
"3313985975","1644152239"
"3378205263","216776631"
"490910776","32845990"
